Category,Focus Product,CB Version,Accronym,Naming Convention SDDC Roles Based Training slide,Official Course Name (versions separated by slash),GA,Duration [h],Cost [USD],Delivery Mode,Delivery Location,Course URL,Acronym (repeat),Cert ID 1,Cert ID 2,Cert ID 3,Cert ID 4,Cert ID 5,Cert ID 6
SDDC,Core,6.0,VTSP - VBCA,VTSP - VBCA (Virtualization of Business Critical Applications),VTSP - VBCA (Virtualization of Business Critical Applications),yes,7.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=26465&ui=sso,VTSP - VBCA,26465,,,,,
SDDC,NSX,6.0,VTSP - NV,VMware Technical Sales Professional (VTSP) - Network Virtualization (NV),VTSP - NV (Network Virtualization 1.0),yes,3.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50147&ui=sso,VTSP - NV,50147,,,,,
SDDC,VSAN,6.0,VTSP - SDS,VMware Technical Sales Professional (VTSP) - Software Defined Storage (SDS),VTSP - SDS (Software-Defined Storage),yes,1.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=49279&ui=sso,VTSP - SDS,49279,,,,,
SDDC,vROps,6.0,VTSP - MO,VMware Technical Sales Professional (VTSP) - Management Operations (MO),VTSP - MO (Management Operations 5),yes,6.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=29866&ui=sso,VTSP - MO,29866,,,,,
SP,vCA,6.0,VTSP - Hybrid,Vmware Technical Sales Professional (VTSP) - Hybrid,VTSP ? Hybrid Training,yes,5.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41148&ui=sso,VTSP - Hybrid,41148,,,,,
EUC,Horizon View,6.0,VTSP - DV,VTSP - DV (Desktop Virtualization 6),VTSP - DV (Desktop Virtualization 6),yes,4.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=49750&ui=sso,VTSP - DV,27581,49750,,,,
EUC,Horizon DaaS,6.0,VTSP - DaaS,VTSP - DaaS (Desktop as a Service),VTSP - DaaS (Desktop as a Service),yes,3.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=48510&ui=sso,VTSP - DaaS,48510,,,,,
SDDC,"vRA, vRB, vRO",7.0,VTSP - MA,VTSP-Management Automation (MA),VTSP-Management Automation (MA),yes,9.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=53937&ui=sso,VTSP - MA,53937,,,,,
EUC,AirWatch,7.0,VTSP ? Mobility,VTSP ? Mobility,VTSP ? Mobility,yes,6.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=51361&ui=sso,VTSP ? Mobility,51361,,,,,
SP,vCD SP,7.0,VOP-CP,VOP-CP (Cloud Provider),VOP-CP (Cloud Provider),yes,0.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=47858&ui=sso,VOP-CP,47858,,,,,
SDDC,Core,7.0,ITO S,,SDDC IT Outcomes,yes,1.5,0,eLearning,remote,https://na6.salesforce.com/secur/login_portal.jsp?orgId=00D400000009hQR&portalId=06040000000D6Nb&startURL=/apex/PRMPartnerUnivTab%3F%26stURLmLa%3Dhttps%253A%252F%252Fmylearn%252Evmware%252Ecom%252FmgrReg%252Fplan%252Ecfm%253Fplan%253D61792%2526ui%253Dsso,ITO S,,,,,,
SDDC,Core,7.0,ITO T AIDA,,IT Outcomes - App and Infrastructure Delivery Automation,yes,1.5,0,eLearning,remote,https://na6.salesforce.com/secur/login_portal.jsp?orgId=00D400000009hQR&portalId=06040000000D6Nb&startURL=/apex/PRMPartnerUnivTab%3F%26stURLmLa%3Dhttps%253A%252F%252Fmylearn%252Evmware%252Ecom%252FmgrCourse%252Fcollections%252Fview%252Ecfm%253Fc%253D53944%2526task%253D4142417%2526ui%253Dsso,ITO T AIDA,,,,,,
SDDC,Core,7.0,ITO T DCVS,,IT Outcomes - Data Center Virtualization and Standardization,yes,1.5,0,eLearning,remote,https://na6.salesforce.com/secur/login_portal.jsp?orgId=00D400000009hQR&portalId=06040000000D6Nb&startURL=/apex/PRMPartnerUnivTab%3F%26stURLmLa%3Dhttps%253A%252F%252Fmylearn%252Evmware%252Ecom%252FmgrCourse%252Fcollections%252Fview%252Ecfm%253Fc%253D53945%2526task%253D4260470%2526ui%253Dsso,ITO T DCVS,,,,,,
SDDC,Core,7.0,ITO T HARI,,IT Outcomes - High Availability and Resilient Infrastructure,yes,1.5,0,eLearning,remote,https://na6.salesforce.com/secur/login_portal.jsp?orgId=00D400000009hQR&portalId=06040000000D6Nb&startURL=/apex/PRMPartnerUnivTab%3F%26stURLmLa%3Dhttps%253A%252F%252Fmylearn%252Evmware%252Ecom%252FmgrReg%252Fplan%252Ecfm%253Fplan%253D53946%2526ui%253Dsso,ITO T HARI,,,,,,
SDDC,Core,7.0,ITO T SCNI,,IT Outcomes - Security Controls Native to Infrastructure,yes,1.5,0,eLearning,remote,https://na6.salesforce.com/secur/login_portal.jsp?orgId=00D400000009hQR&portalId=06040000000D6Nb&startURL=/apex/PRMPartnerUnivTab%3F%26stURLmLa%3Dhttps%253A%252F%252Fmylearn%252Evmware%252Ecom%252FmgrReg%252Fplan%252Ecfm%253Fplan%253D53947%2526ui%253Dsso,ITO T SCNI,,,,,,
SDDC,Core,6.0,vCA,Vmware Sales Professional - Competitive Accreditation,VMware Competitive Accreditation 5 / VMware Competitive Accreditation 5.5,retired,2.0,0,eLearning,remote,https://na6.salesforce.com/apex/PartnerUniversity?sfdc.tabName=01r80000000G7sO,vCA,10472,28524,35740,45185,,
